Município;Abacate;Abacaxi*;Açaí;Alfafa fenada;Algodão arbóreo (em caroço);Algodão herbáceo (em caroço);Alho;Amendoim (em casca);Arroz (em casca);Aveia (em grão);Azeitona;Banana (cacho);Batata-doce;Batata-inglesa;Borracha (látex coagulado);Borracha (látex líquido);Cacau (em amêndoa);Café (em grão) Total;Café (em grão) Arábica;Café (em grão) Canephora;Caju;Cana-de-açúcar;Cana para forragem;Caqui;Castanha de caju;Cebola;Centeio (em grão);Cevada (em grão);Chá-da-índia (folha verde);Coco-da-baía*;Dendê (cacho de coco);Erva-mate (folha verde);Ervilha (em grão);Fava (em grão);Feijão (em grão);Figo;Fumo (em folha);Girassol (em grão);Goiaba;Guaraná (semente);Juta (fibra);Laranja;Limão;Linho (semente);Maçã;Malva (fibra);Mamão;Mamona (baga);Mandioca;Manga;Maracujá;Marmelo;Melancia;Melão;Milho (em grão);Noz (fruto seco);Palmito;Pera;Pêssego;Pimenta-do-reino;Rami (fibra);Sisal ou agave (fibra);Soja (em grão);Sorgo (em grão);Tangerina;Tomate;Trigo (em grão);Triticale (em grão);Tungue (fruto seco);Urucum (semente);Uva
Altos (PI);-;-;-;...;-;-;-;-;95;-;-;23;-;-;-;...;-;-;-;-;...;40;...;-;18;-;-;-;-;122;-;-;-;26;924;-;-;-;-;-;-;68;-;-;-;-;-;-;403;314;-;-;2545;-;599;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Alvorada do Gurguéia (PI);-;-;-;...;-;-;-;-;39;-;-;738;-;-;-;...;-;-;-;-;...;432;...;-;13;-;-;-;-;225;-;-;-;-;453;-;-;-;-;-;-;42;-;-;-;-;-;-;379;-;-;-;820;-;7683;-;-;-;-;-;-;-;19471;-;-;-;-;-;-;-;-
Amarante (PI);-;-;-;...;-;-;-;-;1962;-;-;413;-;-;-;...;-;-;-;-;...;788;...;-;480;-;-;-;-;-;-;-;-;85;1353;-;-;-;-;-;-;32;-;-;-;-;-;-;2513;238;375;-;-;-;3123;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Angical do Piauí (PI);-;-;-;...;-;-;-;-;284;-;-;468;-;-;-;...;-;-;-;-;...;173;...;-;35;-;-;-;-;40;-;-;-;70;136;-;-;-;-;-;-;-;-;-;-;-;-;-;246;-;-;-;-;-;1004;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Anísio de Abreu (PI);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;4;-;-;-;-;-;-;-;-;-;296;-;-;-;-;-;-;-;-;-;-;-;-;-;97;-;-;-;-;-;591;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Antônio Almeida (PI);-;-;-;...;-;-;-;-;34;-;-;339;-;-;-;...;-;-;-;-;...;29;...;-;48;-;-;-;-;-;-;-;-;56;360;-;-;-;-;-;-;80;-;-;-;-;-;-;60;-;-;-;-;-;536;-;-;-;-;-;-;-;57527;-;-;-;-;-;-;-;-
Aroazes (PI);-;-;-;...;-;-;-;-;206;-;-;410;-;-;-;...;-;-;-;-;...;-;...;-;41;-;-;-;-;-;-;-;-;42;140;-;-;-;-;-;-;-;-;-;-;-;-;-;44;-;-;-;121;-;944;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Aroeiras do Itaim (PI);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;8;-;-;-;-;-;-;-;-;-;241;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;586;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Arraial (PI);-;-;-;...;-;-;-;-;553;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;67;-;-;-;-;-;-;-;-;-;398;-;-;-;-;-;-;-;-;-;-;-;-;-;33;-;-;-;-;-;1193;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Assunção do Piauí (PI);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;43;...;-;11;-;-;-;-;-;-;-;-;-;2897;-;-;-;-;-;-;-;-;-;-;-;-;-;72;-;-;-;-;-;453;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Avelino Lopes (PI);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;1706;-;-;-;-;-;-;-;-;-;-;-;-;-;140;-;-;-;-;-;2422;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Baixa Grande do Ribeiro (PI);-;-;-;...;-;2430;-;-;10346;-;-;-;-;-;-;...;-;-;-;-;...;79;...;-;6;-;-;-;-;-;-;-;-;70;18075;-;-;-;-;-;-;95;-;-;-;-;-;-;554;-;-;-;269;-;542810;-;-;-;-;-;-;-;1892044;1200;-;-;-;-;-;-;-
Barra D'Alcântara (PI);-;-;-;...;-;-;-;-;184;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;8;-;-;-;-;-;-;-;-;65;15;-;-;-;-;-;-;-;-;-;-;-;-;-;64;-;-;-;94;-;487;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Barras (PI);-;-;-;...;-;-;-;-;2688;-;-;394;-;-;-;...;-;-;-;-;...;336;...;-;431;-;-;-;-;40;-;-;-;40;873;-;-;-;-;-;-;246;-;-;-;-;-;-;1035;432;-;-;6804;-;1967;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Barreiras do Piauí (PI);-;-;-;...;-;5796;-;-;49;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;5;-;-;-;-;-;-;-;-;67;253;-;-;-;-;-;-;-;-;-;-;-;-;-;153;-;-;-;-;-;25923;-;-;-;-;-;-;-;155804;-;-;-;-;-;-;-;-
Barro Duro (PI);-;-;-;...;-;-;-;-;248;-;-;3143;-;-;-;...;-;-;-;-;...;444;...;-;204;-;-;-;-;-;-;-;-;85;374;-;-;-;-;-;-;111;-;-;-;-;-;-;257;-;-;-;1550;-;620;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Batalha (PI);-;-;-;...;-;-;-;-;1095;-;-;352;-;-;-;...;-;-;-;-;...;54;...;-;987;-;-;-;-;-;-;-;-;-;1809;-;-;-;-;-;-;23;-;-;-;-;-;-;635;162;-;-;240;-;1126;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Bela Vista do Piauí (PI);-;-;-;...;-;-;-;-;5;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;597;-;-;-;-;-;-;-;-;-;-;-;-;-;18;-;-;-;-;-;1751;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Belém do Piauí (PI);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;176;-;-;-;-;70;-;-;-;-;728;-;-;-;-;-;-;-;-;-;-;-;-;-;189;-;-;-;-;-;465;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Beneditinos (PI);-;-;-;...;-;-;-;-;206;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;39;-;-;-;-;-;-;-;-;-;289;-;-;-;-;-;-;-;-;-;-;-;-;-;292;-;-;-;1806;-;77;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Bertolínia (PI);-;-;-;...;-;-;-;-;65;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;18;454;-;-;-;-;-;-;-;-;-;-;-;-;-;132;-;-;-;-;-;529;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Betânia do Piauí (PI);-;-;-;...;-;7;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;116;-;-;-;-;-;-;-;-;-;-;-;-;-;673;-;-;-;-;-;26;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Boa Hora (PI);-;-;-;...;-;-;-;-;143;-;-;-;-;-;-;...;-;-;-;-;...;2464;...;-;46;-;-;-;-;-;-;-;-;-;125;-;-;-;-;-;-;-;-;-;-;-;-;-;315;-;-;-;-;-;82;-;-;-;-;-;-;-;11496;-;-;-;-;-;-;-;-
Bocaina (PI);-;-;-;...;-;-;-;-;24;-;-;528;24;-;-;...;-;-;-;-;...;32;...;-;40;24;-;-;-;270;-;-;-;-;1221;-;-;-;-;-;-;-;-;-;-;-;-;-;90;43;-;-;-;-;430;-;-;-;-;-;-;-;-;-;-;90;-;-;-;-;-
Bom Jesus (PI);-;-;-;...;-;-;-;-;11629;-;-;320;-;-;-;...;-;-;-;-;...;41;...;-;28;-;-;-;-;24;-;-;-;62;4090;-;-;-;-;-;-;-;-;-;-;-;-;-;387;57;-;-;561;-;265729;-;-;-;-;-;-;-;620983;487;-;-;-;-;-;-;-
Bom Princípio do Piauí (PI);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;1352;-;-;-;-;-;-;-;-;-;3389;-;-;-;-;-;-;38;-;-;-;-;-;-;12513;150;-;-;-;-;1878;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Bonfim do Piauí (PI);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;315;-;-;-;-;-;-;-;-;-;-;-;-;-;76;-;-;-;-;-;23;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Boqueirão do Piauí (PI);-;-;-;...;-;-;-;-;195;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;343;-;-;-;-;-;-;-;-;-;626;-;-;-;-;-;-;-;-;-;-;-;-;-;375;-;-;-;-;-;518;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Brasileira (PI);-;-;-;...;-;-;-;-;44;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;90;-;-;-;-;-;-;-;-;-;358;-;-;-;-;-;-;-;-;-;-;-;-;-;336;-;253;-;461;-;464;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Brejo do Piauí (PI);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;4;-;-;-;-;-;-;-;-;-;659;-;-;-;-;-;-;-;-;-;-;-;-;-;26;-;-;-;275;-;828;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Buriti dos Lopes (PI);-;-;-;...;-;-;-;-;13875;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;120;-;-;-;-;-;-;-;-;-;1551;-;-;-;-;-;-;-;-;-;-;-;-;-;6746;-;-;-;-;-;980;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Buriti dos Montes (PI);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;7;-;-;-;-;-;-;-;-;-;1142;-;-;-;-;-;-;-;-;-;-;-;-;-;194;-;-;-;-;-;388;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Cabeceiras do Piauí (PI);-;-;-;...;-;-;-;-;688;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;287;-;-;-;-;60;-;-;-;-;214;-;-;-;-;-;-;-;-;-;-;-;-;-;495;-;-;-;560;-;528;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Cajazeiras do Piauí (PI);-;-;-;...;-;-;-;-;54;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;166;-;-;-;-;-;-;-;-;-;-;-;-;-;12;-;-;-;-;-;484;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Cajueiro da Praia (PI);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;210;-;-;-;-;135;-;-;-;-;416;-;-;-;-;-;-;-;-;-;-;-;-;-;1280;-;-;-;-;-;143;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Caldeirão Grande do Piauí (PI);-;-;-;...;-;161;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;163;3540;-;-;-;-;-;-;-;-;-;-;-;-;-;17693;-;-;-;-;-;3397;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Campinas do Piauí (PI);-;-;-;...;-;-;-;-;-;-;-;422;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;930;-;-;-;-;-;-;-;-;-;-;-;-;-;108;211;-;-;-;-;2068;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Campo Alegre do Fidalgo (PI);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;164;-;-;-;-;-;-;-;-;-;-;-;-;-;22;-;-;-;-;-;84;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Campo Grande do Piauí (PI);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;1446;-;-;-;-;-;-;-;-;-;1634;-;-;-;-;-;-;-;-;-;-;-;-;-;924;-;-;-;-;-;405;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Campo Largo do Piauí (PI);-;-;-;...;-;-;-;-;662;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;14;-;-;-;-;-;-;-;-;45;150;-;-;-;-;-;-;-;-;-;-;-;-;-;168;-;-;-;-;-;437;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Campo Maior (PI);-;-;-;...;-;-;-;-;137;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;502;-;-;-;-;-;-;-;-;-;2381;-;-;-;-;-;-;-;-;-;-;-;-;-;851;-;-;-;1842;-;1625;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Canavieira (PI);-;-;-;...;-;-;-;-;173;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;109;-;-;-;-;-;-;-;-;19;812;-;-;-;-;-;-;-;-;-;-;-;-;-;213;-;-;-;-;-;1258;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Canto do Buriti (PI);-;-;-;...;-;-;-;-;-;-;-;885;-;-;-;...;-;-;-;-;...;-;...;-;513;-;-;-;-;55;-;-;-;-;1401;-;-;-;-;-;-;-;-;-;-;-;-;-;696;-;-;-;1754;36481;2840;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Capitão de Campos (PI);-;-;-;...;-;-;-;-;580;-;-;-;-;-;-;...;-;-;-;-;...;21;...;-;294;-;-;-;-;-;-;-;-;-;425;-;-;-;-;-;-;-;-;-;-;-;-;-;594;-;-;-;134;-;617;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Capitão Gervásio Oliveira (PI);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;140;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;55;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Caracol (PI);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;7;-;-;-;-;-;-;-;-;-;781;-;-;-;-;-;-;-;-;-;-;-;-;-;252;-;-;-;-;-;308;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Caraúbas do Piauí (PI);-;-;-;...;-;-;-;-;339;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;40;-;-;-;-;-;-;-;-;-;316;-;-;-;-;-;-;-;-;-;-;-;-;-;164;-;-;-;-;-;169;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Caridade do Piauí (PI);-;-;-;...;-;371;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;340;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;575;-;-;-;-;-;-;-;-;-;-;630;-;-;-;-;-
Castelo do Piauí (PI);-;-;-;...;-;-;-;-;62;-;-;-;-;-;-;...;-;-;-;-;...;946;...;-;192;-;-;-;-;-;-;-;-;-;2320;-;-;-;-;-;-;-;-;-;-;-;-;-;533;-;-;-;387;-;1326;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Caxingó (PI);-;-;-;...;-;-;-;-;881;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;8;-;-;-;-;-;-;-;-;-;157;-;-;-;-;-;-;-;-;-;-;-;-;-;512;-;-;-;67;-;86;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Cocal (PI);-;-;-;...;-;-;-;-;836;-;-;120;-;-;-;...;-;-;-;-;...;59;...;-;3898;-;-;-;-;65;-;-;-;40;3677;-;-;-;-;-;-;80;-;-;-;-;-;-;24745;225;-;-;-;-;4328;-;-;-;-;-;-;-;406;-;-;-;-;-;-;-;-
Cocal de Telha (PI);-;-;-;...;-;-;-;-;105;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;116;-;-;-;-;-;-;-;-;-;103;-;-;-;-;-;-;-;-;-;-;-;-;-;140;-;-;-;74;-;341;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Cocal dos Alves (PI);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;3407;-;-;-;-;-;-;-;-;-;261;-;-;-;-;-;-;-;-;-;-;-;-;-;2888;-;-;-;-;-;88;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Coivaras (PI);-;-;-;...;-;-;-;-;208;-;-;-;-;-;-;...;-;-;-;-;...;43;...;-;273;-;-;-;-;-;-;-;-;-;260;-;-;-;-;-;-;-;-;-;-;-;-;-;98;246;-;-;320;-;266;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Colônia do Gurguéia (PI);-;-;-;...;-;-;-;-;8;-;-;54;-;-;-;...;-;-;-;-;...;-;...;-;76;-;-;-;-;-;-;-;-;27;27;-;-;-;-;-;-;-;-;-;-;-;-;-;32;-;-;-;299;-;592;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Colônia do Piauí (PI);-;-;-;...;-;-;-;-;8;-;-;-;-;-;-;...;-;-;-;-;...;25;...;-;49;-;-;-;-;-;-;-;-;-;925;-;-;-;-;-;-;-;-;-;-;-;-;-;116;-;-;-;-;-;326;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Conceição do Canindé (PI);-;-;-;...;-;-;-;-;-;-;-;120;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;29;-;-;-;-;718;-;-;-;450;-;-;-;-;-;-;-;-;-;120;158;-;-;534;192;187;-;-;-;-;-;-;-;-;-;-;2734;-;-;-;-;-
Coronel José Dias (PI);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;5;-;-;-;-;-;-;-;-;-;169;-;-;-;-;-;-;-;-;-;-;-;-;-;31;-;-;-;-;-;28;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Corrente (PI);-;-;-;...;-;10856;-;-;1150;-;-;-;-;-;-;...;-;-;-;-;...;126;...;-;-;-;-;-;-;-;-;-;-;-;1112;-;-;-;-;-;-;-;-;-;-;-;-;-;871;-;-;-;-;-;33047;-;-;-;-;-;-;-;186629;-;-;-;-;-;-;-;-
Cristalândia do Piauí (PI);-;-;-;...;-;-;-;-;12;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;549;-;-;-;-;-;-;-;-;-;-;-;-;-;124;-;-;-;-;-;4579;-;-;-;-;-;-;-;7395;-;-;-;-;-;-;-;-
Cristino Castro (PI);-;-;-;...;-;-;-;-;5;-;-;155;-;-;-;...;-;-;-;-;...;-;...;-;30;-;-;-;-;-;-;-;-;180;497;-;-;-;-;-;-;-;-;-;-;-;-;-;288;-;-;-;-;-;756;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Curimatá (PI);-;-;-;...;-;-;-;-;5;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;2105;-;-;-;-;-;-;-;-;-;-;-;-;-;49;-;-;-;-;-;1791;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Currais (PI);-;-;-;...;-;-;-;-;8685;-;-;80;-;-;-;...;-;-;-;-;...;299;...;-;13;-;-;-;-;-;-;-;-;-;2053;-;-;-;-;-;-;-;-;-;-;-;-;-;155;-;-;-;-;-;209778;-;-;-;-;-;-;-;364220;1753;-;-;-;-;-;-;-
Curralinhos (PI);-;-;-;...;-;-;-;-;207;-;-;119;-;-;-;...;-;-;-;-;...;-;...;-;60;-;-;-;-;-;-;-;-;17;87;-;-;-;-;-;-;-;-;-;-;-;-;-;97;-;-;-;-;-;197;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Curral Novo do Piauí (PI);-;-;-;...;-;72;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;398;-;-;-;-;-;-;-;-;-;-;-;-;-;3444;-;-;-;-;-;796;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Demerval Lobão (PI);-;-;-;...;-;-;-;-;73;-;-;-;-;-;-;...;-;-;-;-;...;16;...;-;27;-;-;-;-;-;-;-;-;-;146;-;-;-;-;-;-;-;-;-;-;-;-;-;84;-;-;-;489;-;246;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Dirceu Arcoverde (PI);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;171;-;-;-;-;-;-;-;-;-;-;-;-;-;24;-;-;-;-;-;28;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Dom Expedito Lopes (PI);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;416;-;-;-;-;-;-;-;-;-;1012;-;-;-;-;-;-;-;-;-;-;-;-;-;1200;13;-;-;145;-;221;-;-;-;-;-;-;-;-;-;-;133;-;-;-;-;-
Domingos Mourão (PI);-;-;-;...;-;-;-;-;26;-;-;-;-;-;-;...;-;-;-;-;...;66;...;-;167;-;-;-;-;-;-;-;-;-;757;-;-;-;-;-;-;-;-;-;-;-;-;-;63;-;-;-;360;-;753;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Dom Inocêncio (PI);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;453;-;-;-;-;-;-;-;-;-;-;-;-;-;13;-;-;-;-;-;161;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Elesbão Veloso (PI);-;-;-;...;-;-;-;-;732;-;-;60;-;-;-;...;-;-;-;-;...;-;...;-;30;-;-;-;-;-;-;-;-;59;100;-;-;-;-;-;-;-;-;-;-;-;-;-;369;-;-;-;32;-;2668;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Eliseu Martins (PI);-;-;-;...;-;-;-;-;9;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;18;-;-;-;-;-;-;-;-;-;343;-;-;-;-;-;-;-;-;-;-;-;-;-;28;-;-;-;-;-;3159;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Esperantina (PI);-;-;-;...;-;-;-;-;2019;-;-;248;-;-;-;...;-;-;-;-;...;-;...;-;360;-;-;-;-;-;-;-;-;43;347;-;-;-;-;-;-;150;-;-;-;-;-;-;1050;176;-;-;450;-;1418;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Fartura do Piauí (PI);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;185;-;-;-;-;-;-;-;-;-;-;-;-;-;75;-;-;-;-;-;64;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Flores do Piauí (PI);-;-;-;...;-;-;-;-;92;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;57;-;-;-;-;-;-;-;-;27;993;-;-;-;-;-;-;-;-;-;-;-;-;-;93;-;-;-;-;-;1574;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Floresta do Piauí (PI);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;240;-;-;-;-;-;-;-;-;-;-;-;-;-;38;-;-;-;-;-;414;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Floriano (PI);-;-;-;...;-;-;-;-;6;-;-;48;-;-;-;...;-;-;-;-;...;-;...;-;550;-;-;-;-;961;-;-;-;9;2369;-;-;-;-;-;-;22;-;-;-;-;-;-;153;130;-;-;214;-;1081;-;-;-;-;-;-;-;-;-;-;190;-;-;-;-;-
Francinópolis (PI);-;-;-;...;-;-;-;-;509;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;28;-;-;-;-;-;-;-;-;182;53;-;-;-;-;-;-;-;-;-;-;-;-;-;13;-;-;-;42;-;417;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Francisco Ayres (PI);-;-;-;...;-;-;-;-;1620;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;26;-;-;-;-;-;-;-;-;9;446;-;-;-;-;-;-;-;-;-;-;-;-;-;129;-;-;-;-;-;2520;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Francisco Macedo (PI);-;-;-;...;-;30;-;12;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;6;177;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;188;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Francisco Santos (PI);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;1445;-;-;-;-;-;-;-;-;-;1355;-;-;-;-;-;-;-;-;-;-;-;-;-;583;-;-;-;-;-;35;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Fronteiras (PI);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;40;1609;-;-;-;-;-;-;-;-;-;-;-;-;-;184;-;-;-;-;-;840;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Geminiano (PI);-;-;-;...;-;-;-;-;7;-;-;324;-;-;-;...;-;-;-;-;...;-;...;-;1260;-;-;-;-;20;-;-;-;-;2282;-;-;-;-;-;-;-;-;-;-;-;-;-;1278;-;-;-;207;-;2036;-;-;-;-;-;-;-;-;-;-;265;-;-;-;-;-
Gilbués (PI);-;-;-;...;-;-;-;-;7407;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;14;-;-;-;-;-;-;-;-;26;4122;-;-;-;-;-;-;-;-;-;-;-;-;-;449;-;-;-;-;-;95332;-;-;-;-;-;-;-;311979;-;-;-;-;-;-;-;-
Guadalupe (PI);-;-;-;...;-;-;-;-;34;-;-;48307;-;-;-;...;-;-;-;-;...;160;...;-;5;-;-;-;-;60;-;-;-;-;194;-;-;-;126;-;-;-;-;-;-;-;-;-;198;14;-;-;-;-;5092;-;-;-;-;-;-;-;4331;-;-;-;-;-;-;-;-
Guaribas (PI);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;6;...;-;3;-;-;-;-;-;-;-;-;-;558;-;-;-;-;-;-;-;-;-;-;-;-;-;106;-;-;-;-;-;283;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
